[[ 972,    0,    3,    1,    0,    2,   10,    0,    4,    3],
 [   0, 1127,    5,    0,    2,    0,    3,    4,    1,    5],
 [   0,    1, 1013,    1,    2,    0,    0,    9,    5,    2],
 [   0,    1,    2,  993,    0,    3,    0,    4,    4,    4],
 [   0,    1,    1,    0,  964,    0,    4,    1,    1,   12],
 [   1,    0,    0,    6,    0,  881,    5,    0,    2,    2],
 [   1,    0,    0,    0,    1,    1,  934,    0,    0,    0],
 [   2,    1,    1,    3,    1,    1,    0, 1000,    1,    6],
 [   4,    4,    7,    6,    3,    4,    2,    2,  952,    6],
 [   0,    0,    0,    0,    9,    0,    0,    8,    4,  969]],
[[ 968,    0,    1,    1,    1,    1,    6,    1,    8,    4],
 [   0, 1125,    2,    0,    0,    0,    1,    6,    0,    6],
 [   1,    3, 1012,    5,    1,    0,    0,   11,    6,    0],
 [   0,    1,    3,  981,    0,    3,    1,    2,    5,    3],
 [   0,    2,    1,    0,  967,    0,    2,    1,    3,   13],
 [   0,    0,    0,    9,    0,  880,    2,    0,    3,    4],
 [   5,    2,    0,    0,    1,    3,  945,    0,    5,    0],
 [   1,    1,    4,    4,    1,    1,    0,  991,    4,    7],
 [   4,    1,    9,    7,    3,    4,    1,    3,  935,    3],
 [   1,    0,    0,    3,    8,    0,    0,   13,    5,  969]],
[[ 969,    0,    5,    1,    0,    2,    5,    0,    6,    3],
 [   0, 1120,    0,    0,    0,    0,    3,    5,    0,    8],
 [   0,    2,  994,    3,    6,    0,    0,    8,    4,    0],
 [   0,    2,    5,  984,    0,    1,    0,    2,    2,    6],
 [   0,    0,    3,    0,  960,    0,    4,    5,    4,    5],
 [   2,    0,    0,   10,    0,  883,    5,    0,    2,    5],
 [   4,    2,    1,    0,    1,    3,  938,    0,    2,    0],
 [   2,    1,    7,    7,    2,    1,    0,  994,    5,    7],
 [   3,    8,   17,    4,    2,    2,    3,    3,  943,    0],
 [   0,    0,    0,    1,   11,    0,    0,   11,    6,  975]],
[[ 975,    0,    1,    1,    0,    2,    3,    1,    4,    3],
 [   1, 1129,    2,    0,    0,    0,    2,    5,    1,    6],
 [   0,    4, 1014,    1,    0,    1,    0,   10,    1,    0],
 [   0,    1,    1,  983,    0,    3,    0,    2,    1,    0],
 [   0,    0,    3,    0,  969,    1,    5,    1,    2,    4],
 [   1,    0,    0,   14,    0,  878,    4,    1,    3,    4],
 [   1,    0,    0,    0,    2,    1,  940,    0,    2,    0],
 [   1,    0,    4,    3,    1,    0,    0, 1001,    4,    6],
 [   1,    1,    6,    6,    2,    3,    4,    2,  952,    5],
 [   0,    0,    1,    2,    8,    3,    0,    5,    4,  981]],
[[ 970,    0,    2,    0,    0,    1,    1,    0,    4,    4],
 [   0, 1126,    3,    0,    1,    0,    3,    7,    1,    6],
 [   1,    5,  999,    4,    2,    1,    0,   12,    5,    0],
 [   0,    0,    4,  976,    0,    2,    0,    2,    3,    3],
 [   1,    1,    5,    1,  962,    1,    8,    3,    3,    5],
 [   1,    1,    0,   12,    0,  878,   10,    0,    4,    3],
 [   4,    0,    0,    0,    2,    2,  931,    0,    2,    0],
 [   1,    1,    5,    7,    0,    0,    0,  995,    3,    1],
 [   2,    1,   13,    8,    2,    5,    5,    1,  942,    4],
 [   0,    0,    1,    2,   13,    2,    0,    8,    7,  983]],
[[ 972,    0,    3,    1,    0,    0,    7,    0,    4,    4],
 [   0, 1128,    3,    0,    0,    0,    3,    6,    0,    6],
 [   1,    2,  998,    0,    1,    1,    0,    7,    3,    0],
